"Gene","Non-unique gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"cwlD","","hypothetical protein","4","103","66","37","5.71428571429","26.4285714286","0.0217711091497","1.08144289378e-22","6.44107387534e-19","6.44107387534e-19"
"group_7898","","hypothetical protein","27","0","43","140","38.5714285714","100.0","inf","2.26907174165e-15","1.35145912933e-11","7.11294278594e-13"
"apbE_3-ybdM-ureD1-rsxG_2-group_11672-amt-group_13232-srrA_4-larMN-crcB_2-ureB-ureC-ureA-ureF-ureG-ureE-ureI","","Merged genes","27","0","43","140","38.5714285714","100.0","inf","2.26907174165e-15","1.35145912933e-11","7.11294278594e-13"
"larQ","","hypothetical protein","26","0","44","140","37.1428571429","100.0","inf","9.48884546509e-15","5.65155635901e-11","2.56888925409e-12"
"yccM","","Putative electron transport protein YccM","26","0","44","140","37.1428571429","100.0","inf","9.48884546509e-15","5.65155635901e-11","2.56888925409e-12"
"sasA_9","","Adaptive-response sensory-kinase SasA","26","0","44","140","37.1428571429","100.0","inf","9.48884546509e-15","5.65155635901e-11","2.56888925409e-12"
"larO","","Nickel import ATP-binding protein LarO","25","0","45","140","35.7142857143","100.0","inf","3.90096980232e-14","2.32341761426e-10","1.01018157142e-11"
"group_1312","","hypothetical protein","48","22","22","118","68.5714285714","84.2857142857","11.7024793388","4.64494968632e-14","2.76653203317e-10","1.15272168049e-11"
"group_857","","Iron hydrogenase 1","24","0","46","140","34.2857142857","100.0","inf","1.5773486592e-13","9.39468861418e-10","3.35524593363e-11"
"group_5752","","Tn3 family transposase","24","0","46","140","34.2857142857","100.0","inf","1.5773486592e-13","9.39468861418e-10","3.35524593363e-11"
"group_4806","","IS4 family transposase IS1151","24","0","46","140","34.2857142857","100.0","inf","1.5773486592e-13","9.39468861418e-10","3.35524593363e-11"
"group_2936","bcn","Bacteriocin BCN5","24","0","46","140","34.2857142857","100.0","inf","1.5773486592e-13","9.39468861418e-10","3.35524593363e-11"
"group_1096","lexA_3","LexA repressor","27","2","43","138","38.5714285714","98.5714285714","43.3255813953","5.50279941806e-13","3.2774673334e-09","1.13016114945e-10"
"group_7322","","hypothetical protein","23","0","47","140","32.8571428571","100.0","inf","6.27583402702e-13","3.73788674649e-09","1.23932416345e-10"
"group_1311","","hypothetical protein","22","115","48","25","31.4285714286","17.8571428571","0.0996376811594","6.45047835243e-13","3.8419049067e-09","1.23932416345e-10"
"yjmB_1","","putative symporter YjmB","53","34","17","106","75.7142857143","75.7142857143","9.71972318339","1.40965473144e-12","8.39590358046e-09","2.62371986889e-10"
"group_5455","","hypothetical protein","41","16","29","124","58.5714285714","88.5714285714","10.9568965517","2.10345015357e-12","1.25281491147e-08","3.79640882263e-10"
"group_8014","","hypothetical protein","22","0","48","140","31.4285714286","100.0","inf","2.45803499392e-12","1.46400564238e-08","4.18287326393e-10"
"group_2165","","hypothetical protein","22","0","48","140","31.4285714286","100.0","inf","2.45803499392e-12","1.46400564238e-08","4.18287326393e-10"
"rubR2_1","","Rubredoxin-2","9","87","61","53","12.8571428571","37.8571428571","0.0898812888638","3.43536146118e-12","2.04610128628e-08","5.68361468411e-10"
"rcsC_9","","Sensor histidine kinase RcsC","21","0","49","140","30.0","100.0","inf","9.48099211939e-12","5.64687890631e-08","1.52618348819e-09"
"group_3540-group_6477","","Merged genes","59","50","11","90","84.2857142857","64.2857142857","9.65454545455","1.26695760876e-11","7.54599951778e-08","1.93487167123e-09"
"group_9083-dctP-siaQ","","Merged genes","59","51","11","89","84.2857142857","63.5714285714","9.36007130125","3.32800445651e-11","1.9821594543e-07","4.47044580083e-09"
"group_11889","","hypothetical protein","20","0","50","140","28.5714285714","100.0","inf","3.60277700537e-11","2.1458139844e-07","4.47044580083e-09"
