"source","scoary_field","chosen"
"pig","group_2648","group_2648"
"pig","group_6429-group_5031","group_6429"
"pig","group_1053-group_2294-yidA_1","group_1053"
"pig","treA-treB-treR-group_1470","treA"
"pig","group_6074-group_13258-group_5958","group_6074"
"pig","nanM-group_4407","nanM"
"pig","lhgD_1","lhgD_1"
"pig","csh","csh"
"pig","yxdL","yxdL"
"pig","group_4523","group_4523"
"poultry","group_11046","group_11046"
"poultry","yjjP_3","yjjP_3"
"poultry","group_6555","group_6555"
"poultry","group_3586","group_3586"
"poultry","group_5272-group_11430","group_5272"
"poultry","group_3598","group_3598"
"poultry","group_12907","group_12907"
"poultry","tee6_2","tee6_2"
"poultry","group_6556","group_6556"
"poultry","cwlD","cwlD"
"cattle","cwlD","cwlD"
"cattle","group_7898","group_7898"
"cattle","apbE_3-ybdM-ureD1-rsxG_2-group_11672-amt-group_13232-srrA_4-larMN-crcB_2-ureB-ureC-ureA-ureF-ureG-ureE-ureI","apbE_3"
"cattle","larQ","larQ"
"cattle","yccM","yccM"
"cattle","sasA_9","sasA_9"
"cattle","larO","larO"
"cattle","group_1312","group_1312"
"cattle","group_857","group_857"
"cattle","group_5752","group_5752"
