"maxGenes","acc_q025","acc_q05","acc_median","acc_q95","acc_q975","ll_q025","ll_q05","ll_median","ll_q95","ll_q975","AIC"
1,0.757421875,0.765625,0.8359375,0.90625,0.921875,0.403854469761723,0.474363582899711,0.70884986607953,1.17423780660891,1.3303937043249,286.942628826843
2,0.78125,0.796875,0.859375,0.90703125,0.921875,0.341167582189457,0.357665112206603,0.782729313376635,1.84957592087037,1.95147547361428,231.434465275233
3,0.788671875,0.796875,0.8515625,0.921875,0.921875,0.349249922684078,0.394345647023107,0.948095214075964,1.88298411303444,1.99194920272138,236.109227431366
4,0.765625,0.78125,0.828125,0.90625,0.90625,0.360350775934862,0.4390734456455,1.06993766233473,2.80373558832914,3.06219487379819,243.074066878393
5,0.773046875,0.79609375,0.84375,0.90625,0.90625,0.36555016157314,0.423889311104063,1.13220424551767,2.45090574771613,2.68214451917968,250.042698540138
6,0.773046875,0.78125,0.84375,0.90625,0.90625,0.347950936810896,0.424576676123374,1.02762060241978,3.03283245415744,3.36212828490634,258.041334161038
7,0.75,0.765625,0.84375,0.890625,0.90625,0.499330136561581,0.612732120057444,1.45174389975008,3.21006360916809,3.51745076304143,265.809095707254
8,0.734375,0.734375,0.8125,0.875,0.883203125,0.474427540613904,0.595744174047815,1.84807184306444,3.4962009225607,3.59960106521866,241.952292028225
9,0.73359375,0.75,0.8125,0.875,0.883203125,0.877364267313736,0.933389643211901,1.99984531509341,3.79817094691003,4.08578972270017,244.41666170899
10,0.726171875,0.75,0.796875,0.875,0.875,0.887448984924814,1.02046531645435,2.26998969630916,4.08114078427455,5.03642250336184,252.416660601576
