"Gene","Non-unique gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_2648","","Penicillin acylase","54","2","22","132","71.0526315789","98.5074626866","162.0","1.35235623043e-29","8.05463370842e-26","8.05463370842e-26"
"group_6429-group_5031","","Merged genes","32","0","44","134","42.1052631579","100.0","inf","4.17916235062e-17","2.48910909603e-13","4.14851516005e-14"
"group_1053-group_2294-yidA_1","","Merged genes","44","134","32","0","57.8947368421","0.0","0.0","4.17916235062e-17","2.48910909603e-13","4.14851516005e-14"
"treA-treB-treR-group_1470","","Merged genes","37","130","39","4","48.6842105263","2.98507462687","0.029191321499","7.61609279233e-17","4.53614486711e-13","4.53614486711e-14"
"group_6074-group_13258-group_5958","","Merged genes","31","0","45","134","40.7894736842","100.0","inf","1.6623779128e-16","9.90112284865e-13","7.61624834511e-14"
"nanM-group_4407","","Merged genes","46","134","30","0","60.5263157895","0.0","0.0","6.50495705009e-16","3.87435241904e-12","2.58290161269e-13"
"lhgD_1","","L-2-hydroxyglutarate dehydrogenase","42","132","34","2","55.2631578947","1.49253731343","0.0187165775401","9.31527806687e-16","5.54817961663e-12","3.46761226039e-13"
"csh","","Carbon disulfide hydrolase","44","133","32","1","57.8947368421","0.746268656716","0.0103383458647","1.04854713808e-15","6.24514675442e-12","3.46952597468e-13"
"yxdL","","ABC transporter ATP-binding protein YxdL","44","133","32","1","57.8947368421","0.746268656716","0.0103383458647","1.04854713808e-15","6.24514675442e-12","3.46952597468e-13"
"group_4523","","hypothetical protein","47","134","29","0","61.8421052632","0.0","0.0","2.50510048099e-15","1.49203784648e-11","7.4601892324e-13"
"group_6004","","hypothetical protein","29","0","47","134","38.1578947368","100.0","inf","2.50510048099e-15","1.49203784648e-11","7.4601892324e-13"
"group_4004","","hypothetical protein","40","130","36","4","52.6315789474","2.98507462687","0.034188034188","4.61437519427e-15","2.74832186571e-11","1.30872469796e-12"
"group_4507","","hypothetical protein","42","131","34","3","55.2631578947","2.23880597015","0.0282891782667","8.79737895609e-15","5.23971890624e-11","2.0958875625e-12"
"kdpB-kdpE-group_4478","","Merged genes","42","131","34","3","55.2631578947","2.23880597015","0.0282891782667","8.79737895609e-15","5.23971890624e-11","2.0958875625e-12"
"mhqR","","HTH-type transcriptional regulator MhqR","48","134","28","0","63.1578947368","0.0","0.0","9.49850599043e-15","5.6573101679e-11","2.17588852612e-12"
"graR_1","","Response regulator protein GraR","44","132","32","2","57.8947368421","1.49253731343","0.0208333333333","1.35306091535e-14","8.05883081185e-11","2.98475215254e-12"
"group_1647","","hypothetical protein","43","131","33","3","56.5789473684","2.23880597015","0.029840388619","3.27607859461e-14","1.95123241095e-10","5.71035720202e-12"
"group_4511","","hypothetical protein","43","131","33","3","56.5789473684","2.23880597015","0.029840388619","3.27607859461e-14","1.95123241095e-10","5.71035720202e-12"
"thiT","","Thiamine transporter ThiT","43","131","33","3","56.5789473684","2.23880597015","0.029840388619","3.27607859461e-14","1.95123241095e-10","5.71035720202e-12"
"group_5275","","hypothetical protein","49","134","27","0","64.4736842105","0.0","0.0","3.54740121684e-14","2.11283216475e-10","5.71035720202e-12"
"group_4410-cdr-group_4408-cmpR","","Merged genes","49","134","27","0","64.4736842105","0.0","0.0","3.54740121684e-14","2.11283216475e-10","5.71035720202e-12"
"group_10958","","hypothetical protein","27","0","49","134","35.5263157895","100.0","inf","3.54740121684e-14","2.11283216475e-10","5.71035720202e-12"
"group_4264","","hypothetical protein","27","0","49","134","35.5263157895","100.0","inf","3.54740121684e-14","2.11283216475e-10","5.71035720202e-12"
"nrdD_1-group_3958","","Merged genes","45","132","31","2","59.2105263158","1.49253731343","0.0219941348974","5.01446577322e-14","2.98661581453e-10","7.65798926803e-12"
"group_5013","","hypothetical protein","29","1","47","133","38.1578947368","99.2537313433","82.0638297872","5.62886389845e-14","3.35255133792e-10","8.3813783448e-12"
"group_6292-group_4479-arlR_2-group_8600","","Merged genes","42","130","34","4","55.2631578947","2.98507462687","0.0380090497738","6.38924375126e-14","3.80543357825e-10","8.64871267785e-12"
"pnuC","","Nicotinamide riboside transporter PnuC","37","126","39","8","48.6842105263","5.97014925373","0.0602360602361","7.27426214871e-14","4.33255053577e-10","9.62789007949e-12"
"group_982","","hypothetical protein","33","122","43","12","43.4210526316","8.9552238806","0.0754860846359","9.38005579218e-14","5.58676122982e-10","1.21451331083e-11"
"group_1608","","hypothetical protein","44","131","32","3","57.8947368421","2.23880597015","0.0314885496183","1.19628136285e-13","7.12505179713e-10","1.49523507044e-11"
"ygjI","","Inner membrane transporter YgjI","50","134","26","0","65.7894736842","0.0","0.0","1.3054436478e-13","7.77522236627e-10","1.49523507044e-11"
"group_1398","","hypothetical protein","26","0","50","134","34.2105263158","100.0","inf","1.3054436478e-13","7.77522236627e-10","1.49523507044e-11"
"group_9210-group_9281-group_11277","","Merged genes","26","0","50","134","34.2105263158","100.0","inf","1.3054436478e-13","7.77522236627e-10","1.49523507044e-11"
"group_3143","","IS200/IS605 family transposase ISCpe4","30","2","46","132","39.4736842105","98.5074626866","43.0434782609","1.82490694986e-13","1.08691457934e-09","2.05078222516e-11"
"yjjP_3","","Inner membrane protein YjjP","53","25","23","109","69.7368421053","81.3432835821","10.0469565217","2.12528032376e-13","1.26581696083e-09","2.34410548302e-11"
"group_7911","","hypothetical protein","42","129","34","5","55.2631578947","3.73134328358","0.0478796169631","3.80368704105e-13","2.26547600165e-09","4.04549286009e-11"
"group_6325","","hypothetical protein","34","5","42","129","44.7368421053","96.2686567164","20.8857142857","3.80368704105e-13","2.26547600165e-09","4.04549286009e-11"
