"Gene","Non-unique gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_11046","","hypothetical protein","31","2","33","144","48.4375","98.6301369863","67.6363636364","5.48407842286e-17","3.26631710866e-13","2.45069836775e-13"
"yjjP_3","","Inner membrane protein YjjP","0","78","64","68","0.0","46.5753424658","0.0","8.22934307505e-17","4.9013967355e-13","2.45069836775e-13"
"group_6555","","hypothetical protein","31","3","33","143","48.4375","97.9452054795","44.7777777778","5.09366989641e-16","3.0337897903e-12","1.01126326343e-12"
"group_3586","","hypothetical protein","30","4","34","142","46.875","97.2602739726","31.3235294118","1.67586788331e-14","9.98146911302e-11","2.49536727826e-11"
"group_5272-group_11430","","Merged genes","4","84","60","62","6.25","42.4657534247","0.0492063492063","1.42217943017e-13","8.47050068611e-10","1.33667062323e-10"
"group_3598","","hypothetical protein","3","81","61","65","4.6875","44.5205479452","0.0394656952034","1.57096950347e-13","9.35669436264e-10","1.33667062323e-10"
"group_12907","","hypothetical protein","25","2","39","144","39.0625","98.6301369863","46.1538461538","5.40042854108e-13","3.21649523907e-09","4.02061904883e-10"
"tee6_2","","hypothetical protein","26","3","38","143","40.625","97.9452054795","32.6140350877","9.56299384361e-13","5.69571913325e-09","5.80298247681e-10"
"group_6556","","hypothetical protein","23","1","41","145","35.9375","99.3150684932","81.3414634146","9.74308676429e-13","5.80298247681e-09","5.80298247681e-10"
"cwlD","","hypothetical protein","55","52","9","94","85.9375","64.3835616438","11.047008547","8.47209438481e-12","5.04597941559e-08","4.58725401418e-09"
"mprF_4","","Phosphatidylglycerol lysyltransferase","19","0","45","146","29.6875","100.0","inf","1.8532995593e-11","1.10382521752e-07","9.19854347933e-09"
"ytcD-group_6368","","Merged genes","41","24","23","122","64.0625","83.5616438356","9.0615942029","2.77040091301e-11","1.65005078379e-07","1.17860770271e-08"
"group_9084","","hypothetical protein","23","3","41","143","35.9375","97.9452054795","26.7398373984","6.56104424927e-11","3.90775795487e-07","2.36490522629e-08"
"group_12112","","hypothetical protein","23","3","41","143","35.9375","97.9452054795","26.7398373984","6.56104424927e-11","3.90775795487e-07","2.36490522629e-08"
"group_1716","","hypothetical protein","20","1","44","145","31.25","99.3150684932","65.9090909091","7.14712795052e-11","4.25682940733e-07","2.36490522629e-08"
"group_9711","","hypothetical protein","20","1","44","145","31.25","99.3150684932","65.9090909091","7.14712795052e-11","4.25682940733e-07","2.36490522629e-08"
"group_1988","cph2","Phytochrome-like protein cph2","21","2","43","144","32.8125","98.6301369863","35.1627906977","1.56581825861e-10","9.32601354827e-07","4.9084281833e-08"
"group_4621","","hypothetical protein","39","24","25","122","60.9375","83.5616438356","7.93","3.06689078814e-10","1.82664015342e-06","9.13320076709e-08"
"group_6983","","hypothetical protein","0","51","64","95","0.0","65.0684931507","0.0","3.74424198836e-10","2.23007052827e-06","1.06193834679e-07"
"cbrA","","Protein CbrA","44","34","20","112","68.75","76.7123287671","7.24705882353","5.91980960313e-10","3.52583859962e-06","1.60265390892e-07"
"group_6981","","hypothetical protein","0","50","64","96","0.0","65.7534246575","0.0","7.40491544648e-10","4.41036763992e-06","1.91755114779e-07"
"group_2648","","Penicillin acylase","1","55","63","91","1.5625","62.3287671233","0.0262626262626","1.46826590827e-09","8.74499174963e-06","3.50299534137e-07"
"group_1805","","hypothetical protein","31","14","33","132","48.4375","90.4109589041","8.85714285714","1.47036406203e-09","8.75748835343e-06","3.50299534137e-07"
"group_618","","hypothetical protein","0","49","64","97","0.0","66.4383561644","0.0","1.63248223338e-09","9.72306418202e-06","3.73964007001e-07"
"rspR","","HTH-type transcriptional repressor RspR","27","123","37","23","42.1875","15.7534246575","0.136453526697","1.75354427237e-09","1.04441096862e-05","3.86818877267e-07"
"group_4620","","hypothetical protein","41","30","23","116","64.0625","79.4520547945","6.89275362319","1.8598291678e-09","1.10771425234e-05","3.95612232979e-07"
"group_1419","prtP","hypothetical protein","56","66","8","80","87.5","54.7945205479","8.48484848485","3.49843324915e-09","2.08366684319e-05","7.18505807997e-07"
"group_5432","","NADP-dependent 7-alpha-hydroxysteroid dehydrogenase","20","3","44","143","31.25","97.9452054795","21.6666666667","3.64841451148e-09","2.17299568304e-05","7.24331894345e-07"
"group_10328","","hypothetical protein","17","1","47","145","26.5625","99.3150684932","52.4468085106","4.40265797251e-09","2.62222308843e-05","8.45878415622e-07"
"cpg2","","Carboxypeptidase G2","53","59","11","87","82.8125","59.5890410959","7.10477657935","7.04236648548e-09","4.19443347875e-05","1.31076046211e-06"
"uxaC-group_6058-uidA-nag3-kdgK-kdgA-group_11008-yjmB_2-uxuA","","Merged genes","28","123","36","23","43.75","15.7534246575","0.145438121048","9.69353704728e-09","5.77347066536e-05","1.40816357692e-06"
"group_5183","","hypothetical protein","38","27","26","119","59.375","81.5068493151","6.4415954416","1.17082543001e-08","6.97343626117e-05","1.66034196694e-06"
"xerC_1","","Tyrosine recombinase XerC","41","33","23","113","64.0625","77.397260274","6.10408432148","1.65839871589e-08","9.87742275184e-05","2.26636454236e-06"
"group_3569","","hypothetical protein","16","1","48","145","25.0","99.3150684932","48.3333333333","1.67427870825e-08","9.97200398636e-05","2.26636454236e-06"
"group_3495","","hypothetical protein","30","15","34","131","46.875","89.7260273973","7.70588235294","1.83962460695e-08","0.00010956804159","2.40889948964e-06"
"yfeO","","Putative ion-transport protein YfeO","38","28","26","118","59.375","80.8219178082","6.15934065934","1.86046636204e-08","0.000110809376523","2.40889948964e-06"
"ulaE-ulaF-group_12109-ulaB_1-ulaC_1-ulaA_1-srlR-ulaG","","Merged genes","62","92","2","54","96.875","36.9863013699","18.1956521739","2.21161712992e-08","0.000131723916258","2.43933178256e-06"
"group_13991","","tRNA-Asn(gtt)","54","64","10","82","84.375","56.1643835616","6.91875","2.81779507298e-08","0.000167827874547","3.05141590085e-06"
"group_13610","","hypothetical protein","17","2","47","144","26.5625","98.6301369863","26.0425531915","3.21679484701e-08","0.000191592301088","3.42129109085e-06"
"group_4503-group_1322","","Merged genes","21","108","43","38","32.8125","26.0273972603","0.171834625323","3.37788202614e-08","0.000201186653477","3.46873540478e-06"
"group_13992","","tRNA-Asn(gtt)","10","81","54","65","15.625","44.5205479452","0.148605395519","3.61651231468e-08","0.000215399473463","3.65083853326e-06"
"xerC_2","","Tyrosine recombinase XerC","24","113","40","33","37.5","22.602739726","0.175221238938","4.60427982528e-08","0.000274230906394","4.49558862941e-06"
"group_732","","hypothetical protein","24","113","40","33","37.5","22.602739726","0.175221238938","4.60427982528e-08","0.000274230906394","4.49558862941e-06"
"group_9507","","hypothetical protein","41","35","23","111","64.0625","76.0273972603","5.65341614907","5.58774879644e-08","0.000332806318316","5.3678438438e-06"
"group_111","","hypothetical protein","15","1","49","145","23.4375","99.3150684932","44.387755102","6.2488667865e-08","0.000372182505804","5.81535165318e-06"
"group_3181","","hypothetical protein","15","1","49","145","23.4375","99.3150684932","44.387755102","6.2488667865e-08","0.000372182505804","5.81535165318e-06"
"group_4785","cpg2","Carboxypeptidase G2","12","85","52","61","18.75","41.7808219178","0.165610859729","8.86128338425e-08","0.000527778038366","8.1196621287e-06"
